"","customerid","sex","age","post","trx1M","amt1M","mean1M","item1M","trx3M","amt3M","mean3M","item3M","trx6M","amt6M","mean6M","item6M","churn"
"1",6285,"F","40技~44技","033",9,379310,42146,21,43,2232956,51929,90,94,5846866,62201,161,"0"
"2",4734,"F","45技~49技","016",3,203494,67831,20,7,405444,57921,36,22,1482010,67364,108,"0"
"3",17150,"F","60技捞惑","013",13,448498,34500,66,33,1201980,36424,117,85,3373463,39688,247,"0"
"4",2716,"F","50技~54技","055",7,244780,34969,19,15,525290,35019,28,30,1082298,36077,62,"0"
"5",9017,"F","35技~39技","055",22,997928,45360,87,81,2551178,31496,138,168,5421914,32273,227,"0"
"6",5111,"F","45技~49技","055",20,1235488,61774,103,59,3433187,58190,186,110,6628255,60257,319,"0"
"7",734,"F","60技捞惑","055",16,395330,24708,31,50,1058381,21168,70,112,2052729,18328,144,"0"
"8",4317,"F","45技~49技","055",15,560770,37385,51,43,1478754,34390,97,96,2906985,30281,176,"0"
"9",1774,"M","55技~59技","055",24,406405,16934,51,53,959225,18099,82,110,2129236,19357,169,"0"
"10",365,"M","60技捞惑","055",13,653369,50259,48,55,3110537,56555,126,118,5522225,46799,224,"0"
"11",8080,"F","35技~39技","055",17,575600,33859,54,50,1763836,35277,96,96,3795835,39540,199,"0"
"12",1663,"F","55技~59技","055",20,1106329,55316,97,63,3141090,49859,160,129,6999983,54263,275,"0"
"13",4859,"F","45技~49技","055",13,161046,12388,22,46,712575,15491,68,85,1540722,18126,137,"0"
"14",5569,"M","45技~49技","055",14,1420821,101487,119,53,4861860,91733,236,89,9196973,103337,381,"0"
"15",8237,"F","35技~39技","055",11,249282,22662,24,31,772972,24935,83,88,2279982,25909,201,"0"
"16",6601,"F","40技~44技","055",19,299120,15743,27,48,1219216,25400,47,77,1676376,21771,78,"0"
"17",1339,"F","55技~59技","069",18,283605,15756,14,54,484565,8973,30,83,877751,10575,50,"0"
"18",16296,"M","45技~49技","055",25,830550,33222,32,69,2111147,30596,52,139,4246237,30548,103,"0"
"19",10625,"F","60技捞惑","055",23,464274,20186,17,56,1119606,19993,38,103,2073148,20128,79,"0"
"20",331,"F","60技捞惑","055",29,372227,12835,49,80,1084238,13553,89,144,1782290,12377,143,"0"
"21",454,"F","60技捞惑","055",40,515690,12892,52,109,1389594,12749,87,191,1983244,10383,139,"0"
"22",18776,"F","60技捞惑","055",21,301364,14351,40,58,1818304,31350,101,118,3109870,26355,188,"0"
"23",13721,"F","35技~39技","055",16,837985,52374,70,54,2256795,41792,143,106,4250311,40097,274,"0"
"24",733,"F","60技捞惑","055",16,432025,27002,33,49,1374070,28042,92,119,4284319,36003,186,"0"
"25",3983,"F","45技~49技","049",11,622788,56617,23,36,1288574,35794,54,80,2044733,25559,107,"0"
"26",5988,"F","40技~44技","055",26,856022,32924,58,51,1712131,33571,100,89,2820383,31690,153,"0"
"27",90,"F","60技捞惑","055",5,139000,27800,12,9,941950,104661,17,9,941950,104661,17,"0"
"28",13296,"M","45技~49技","055",16,1536838,96052,26,24,2196098,91504,29,56,4803208,85772,107,"0"
"29",8336,"F","35技~39技","055",7,184990,26427,11,24,816247,34010,43,38,1264247,33270,72,"0"
"30",6466,"F","40技~44技","055",22,1047164,47598,75,60,3472240,57871,138,100,5999329,59993,233,"0"
"31",16486,"F","20技~24技","052",21,173490,8261,31,70,597786,8540,80,131,1171580,8943,146,"0"
"32",18927,"F","20技~24技","055",20,643042,32152,52,55,1805227,32822,116,88,3288147,37365,168,"0"
"33",12228,"F","30技~34技","055",15,224374,14958,23,29,375143,12936,37,64,1060873,16576,74,"0"
"34",18414,"F","40技~44技","045",25,471286,18851,30,43,684796,15925,36,55,904361,16443,49,"0"
"35",6228,"F","40技~44技","060",6,241170,40195,13,19,1094962,57630,33,26,1359704,52296,63,"0"
"36",8262,"F","35技~39技","055",18,718305,39906,36,23,1109387,48234,70,41,2049710,49993,145,"0"
"37",1414,"F","55技~59技","055",26,1079317,41512,83,66,2238152,33911,132,125,3721831,29775,204,"0"
"38",7561,"F","40技~44技","055",9,248870,27652,16,15,384867,25658,41,25,683027,27321,59,"0"
"39",14948,"F","45技~49技","039",22,337994,15363,45,77,1397750,18153,136,147,2787165,18960,227,"0"
"40",13968,"F","35技~39技","065",24,1212825,50534,98,65,3031519,46639,184,126,5457011,43310,334,"0"
"41",4115,"F","45技~49技","055",28,1192578,42592,85,64,3481680,54401,149,113,6779268,59994,294,"0"
"42",2073,"F","50技~54技","016",22,660777,30035,50,75,3083841,41118,140,165,7354019,44570,309,"0"
"43",2635,"F","50技~54技","016",11,475978,43271,44,39,1734349,44470,114,98,3140716,32048,218,"0"
"44",6830,"F","40技~44技","016",18,1009674,56093,124,53,3168389,59781,223,98,6056173,61798,385,"0"
"45",10720,"F","40技~44技","016",19,531350,27966,58,50,1572787,31456,140,101,3010200,29804,252,"0"
"46",8746,"F","35技~39技","027",39,642167,16466,54,92,1738090,18892,112,183,3317159,18127,205,"0"
"47",15778,"M","55技~59技","087",30,501499,16717,59,122,2054244,16838,142,231,3751224,16239,241,"0"
"48",390,"F","60技捞惑","016",24,504270,21011,42,70,1576132,22516,96,135,2909655,21553,156,"0"
"49",908,"F","55技~59技","020",8,260086,32511,24,35,926655,26476,99,60,1462241,24371,163,"0"
"50",4573,"F","45技~49技","010",2,72160,36080,6,4,130674,32668,14,25,816641,32666,55,"0"
"51",13540,"F","45技~49技","010",10,138200,13820,23,42,898834,21401,70,90,2106494,23405,149,"0"
"52",13823,"M","45技~49技","010",11,259937,23631,36,41,1032365,25180,94,65,1955053,30078,183,"0"
"53",18970,"M","35技~39技","043",22,940179,42735,64,57,1924722,33767,99,106,3481853,32848,187,"0"
"54",3794,"F","45技~49技","010",20,1013565,50678,77,45,2249193,49982,138,105,5531053,52677,275,"0"
"55",6186,"F","40技~44技","010",1,199472,199472,21,3,335592,111864,23,6,449057,74843,31,"0"
"56",14910,"F","60技捞惑","010",14,367906,26279,52,45,1201939,26710,96,108,2769302,25642,164,"0"
"57",9941,"F","35技~39技","010",28,753925,26926,66,73,2367075,32426,151,144,4878241,33877,268,"0"
"58",13793,"F","35技~39技","010",20,1148461,57423,80,64,3464228,54129,160,130,6998502,53835,298,"0"
"59",13908,"F","45技~49技","010",18,503472,27971,55,48,1416633,29513,119,102,3850536,37750,230,"0"
"60",18651,"F","60技捞惑","010",18,558910,31051,28,58,1598890,27567,99,111,3169846,28557,161,"0"
"61",8737,"F","35技~39技","052",13,372950,28688,37,35,947700,27077,80,76,2287085,30093,155,"0"
