"","subsidary","receiptid","category1","category2","category3","customerid","shopid","date","time","amount","sex","age","post"
"1","B",8779343,52,5202,"B520201",6285,45,20140530,18,7900,"F","40技~44技","033"
"2","B",8779343,52,5202,"B520202",6285,45,20140530,18,10000,"F","40技~44技","033"
"3","B",8779343,52,5202,"B520204",6285,45,20140530,18,5000,"F","40技~44技","033"
"4","B",8779343,52,5202,"B520205",6285,45,20140530,18,2959,"F","40技~44技","033"
"5","B",8779343,53,5303,"B530303",6285,45,20140530,18,7000,"F","40技~44技","033"
"6","B",8779343,53,5306,"B530602",6285,45,20140530,18,7900,"F","40技~44技","033"
"7","B",8779344,13,1301,"B130102",6285,45,20140530,18,18100,"F","40技~44技","033"
"8","B",8779344,17,1702,"B170203",6285,45,20140530,18,23110,"F","40技~44技","033"
"9","B",8779344,20,2006,"B200602",6285,45,20140530,18,16000,"F","40技~44技","033"
"10","B",8779345,16,1602,"B160202",6285,45,20140530,18,20000,"F","40技~44技","033"
"11","B",8779345,16,1603,"B160301",6285,45,20140530,18,9900,"F","40技~44技","033"
"12","B",6927879,10,1005,"B100504",7221,11,20150824,13,2400,"F","40技~44技","024"
"13","B",8640880,56,5601,"B560102",4734,43,20140124,13,3200,"F","45技~49技","016"
"14","B",8640880,62,6201,"B620102",4734,43,20140124,13,5000,"F","45技~49技","016"
"15","B",8919524,6,611,"B061105",7847,48,20150921,23,12800,"M","35技~39技","079"
"16","B",8919524,15,1501,"B150102",7847,48,20150921,23,28440,"M","35技~39技","079"
"17","B",8828522,90,9001,"B900103",12124,46,20150723,10,15000,"F","35技~39技","020"
"18","B",7879258,5,503,"B050311",17150,25,20140715,19,1100,"F","60技捞惑","013"
"19","B",7879258,5,510,"B051005",17150,25,20140715,19,3900,"F","60技捞惑","013"
"20","B",7879258,18,1802,"B180202",17150,25,20140715,19,3900,"F","60技捞惑","013"
"21","B",7879258,20,2006,"B200602",17150,25,20140715,19,9500,"F","60技捞惑","013"
"22","B",6519000,79,7903,"B790310",2716,7,20141216,21,14400,"F","50技~54技","055"
"23","B",6518999,43,4310,"B431001",9017,7,20141216,21,4880,"F","35技~39技","055"
"24","B",6518999,52,5205,"B520503",9017,7,20141216,21,7900,"F","35技~39技","055"
"25","B",6518999,52,5209,"B520903",9017,7,20141216,21,4500,"F","35技~39技","055"
"26","B",6518999,55,5501,"B550112",9017,7,20141216,21,10000,"F","35技~39技","055"
"27","B",6518999,65,6502,"B650202",9017,7,20141216,21,2980,"F","35技~39技","055"
"28","B",6518999,67,6704,"B670402",9017,7,20141216,21,10000,"F","35技~39技","055"
"29","B",6518999,73,7302,"B730201",9017,7,20141216,21,6990,"F","35技~39技","055"
"30","B",6518999,81,8104,"B810402",9017,7,20141216,21,3500,"F","35技~39技","055"
"31","B",6518869,66,6603,"B660301",5111,7,20141216,13,4900,"F","45技~49技","055"
"32","B",6519000,21,2108,"B210802",2716,7,20141216,21,350,"F","50技~54技","055"
"33","B",6519000,79,7902,"B790210",2716,7,20141216,21,8000,"F","50技~54技","055"
"34","B",6519000,79,7905,"B790502",2716,7,20141216,21,15000,"F","50技~54技","055"
"35","B",6519000,91,9101,"B910108",2716,7,20141216,21,2200,"F","50技~54技","055"
"36","B",6519001,76,7603,"B760301",734,7,20141216,22,10000,"F","60技捞惑","055"
"37","B",6519003,20,2008,"B200801",4317,7,20141216,12,2000,"F","45技~49技","055"
"38","B",6519004,10,1003,"B100305",1774,7,20141216,14,3950,"M","55技~59技","055"
"39","B",6518783,44,4401,"B440101",365,7,20141215,21,99000,"M","60技捞惑","055"
"40","B",6518784,67,6702,"B670201",8080,7,20141215,14,4500,"F","35技~39技","055"
"41","B",6518785,63,6309,"B630902",1663,7,20141215,15,10000,"F","55技~59技","055"
"42","B",6518786,67,6702,"B670201",4859,7,20141215,16,3500,"F","45技~49技","055"
"43","B",6518787,63,6309,"B630902",5569,7,20141215,16,11000,"M","45技~49技","055"
"44","B",6518788,67,6702,"B670201",8237,7,20141215,19,8000,"F","35技~39技","055"
"45","B",6518789,67,6702,"B670201",6601,7,20141215,21,3500,"F","40技~44技","055"
"46","B",6518790,57,5702,"B570204",1339,7,20141215,22,2000,"F","55技~59技","069"
