"","subsidary","category1","n_shop","n_item","n_customer","n_trx","amt","quantileAmt","products"
"1","A",1,45,128,5105,725214,13535582160,"4800-9060-15098-29600","일용잡화,육류,축산가공,농산물,수산품,가공식품,젓갈/반찬,건강식품,주류,차/커피,기타"
"2","A",2,45,58,4777,105508,13372903790,"29000-59850-137040-263000","섬유잡화,액세서리,화장품,보석,준보석/시계,피혁잡화,구두"
"3","A",3,45,14,2428,25409,2397994550,"28800-53500-106000-206738","아동"
"4","A",4,47,67,4838,136526,27959040750,"35910-77000-188100-456950","캐주얼,커리어,트래디셔널,시티웨어,란제리/내의,블라우스,기타의류,디자이너,모피/피혁"
"5","A",5,46,59,3550,25687,5989627110,"70000-136400-280250-534000","남성정장,남성캐주얼,트래디셔널,교복,셔츠,남성 트랜디"
"6","A",6,46,31,4170,42947,6844793330,"49600-89100-166800-330600","스포츠,골프용품"
"7","A",7,34,23,2499,10689,4310146360,"29700-70000-298000-1149200","대형가전,소형가전,통신/컴퓨터,악기,전자/전기,주방가전"
"8","A",8,37,23,2410,11921,11877961040,"128000-406800-1007750-2265000","명품"
"9","A",9,37,43,3807,44086,5195450200,"19000-39000-89100-211835","주방용품,문구/팬시,생활잡화,식기,가구,침구/수예,웨딩"
"10","B",1,77,19,2212,12618,32692112,"1500-2250-3000-4400","열매채소,버섯,온라인버섯/열매채소"
"11","B",2,35,7,769,1899,19778332,"7000-10000-10000-15832","조리반찬,시즌반찬"
"12","B",3,44,6,928,1810,7024700,"2080-2800-4700-6960","포장젓갈,포장반찬"
"13","B",4,88,13,2188,11969,383733194,"9900-18600-34800-42800","양곡,잡곡류,즉석도정미,가공양곡"
"14","B",5,105,101,3544,140804,390064336,"1500-2180-3204-4800","잎채소,뿌리채소,열매채소,버섯류,샐러드채소,약초,양념류,식자재,친환경채소,김치채소,온라인잎/샐러드채소,LOCAL잎채소,LOCAL김치채소,샐러드/간편채소"
"15","B",6,89,48,2572,25072,235412019,"4900-6900-10500-16226","대중선어,냉동수산물,생선선물세트,고등어/삼치,대구,도미/민어,기타구색생선,꽁치/가자미,오징어,조기/명태,국산게/갈치"
"16","B",7,99,29,3037,24818,182789183,"3900-5700-8900-12000","선물세트,즉석구이안주,마른안주,멸치건명태,해조류,특산물,건오징어,조미오징어,육포,쥐치포,마른안주선물세트"
"17","B",8,73,22,1680,8458,277577630,"7000-17000-37950-70000","Fast Food,편의시설,레스토랑,카페,판매시설,주유소"
"18","B",9,84,42,1929,10209,72688545,"3810-6300-9900-11600","브랜드조리,베이커리,구이,튀김,밥류,구이찜조리,반찬류,대용식,이벤트조리,간식조리,간편조리,튀김조리,피자"
"19","B",10,109,41,3846,153138,676209998,"2550-3880-4950-7140","냉장음료,데일리처분,흰우유,가공우유,요구르트,유제품,브랜드빵,치즈,디저트,유가공"
"20","B",11,104,52,3378,57086,357606579,"2300-3800-6430-10800","조미료,소스류,장류,식용유지,조미선물세트,가루,식자재,향신료,액상조미료,복합조미료,소금/설탕류,수입조미"
"21","B",12,112,29,3462,60925,2495210799,"2750-3980-6900-11296","간편조리식품,라면,면류,분유,잼,통조림,인스턴트선물세트,이유식/유아간식,두유"
"22","B",13,100,38,2853,19894,569991790,"4150-8900-19800-29964","커피,차,건강식품,담배,인스턴트커피,원두커피,커피선물세트,시즌차,차선물세트,꿀"
"23","B",14,115,63,3798,114159,471381180,"1920-2930-4250-7200","스낵,비스켓,파이,시리얼,캔디,초콜릿,껌,안주,한과,선물세트,프리미엄과자,간식용과자,수입과자,종합과자,전통과자"
"24","B",15,112,32,3411,61632,298045560,"1020-2000-4320-9600","생수,과채음료,두유,탄산음료,이온음료,커피차음료,기능성음료,수입음료"
"25","B",16,106,19,2728,39208,325036830,"2150-4050-8060-15000","소주,맥주,와인,전통주,양주"
"26","B",17,104,24,3069,26449,476776510,"4400-6900-11900-18800","세탁세제,주거세제,주방세제,섬유유연제,표백제,살충제,탈취제,제습제"
"27","B",18,108,31,3155,28281,344434530,"4000-8600-14900-22900","기저귀,화장지,생리대,유아세제,유아위생용품,시니어위생용품,여성위생용품,키친타올,물티슈,미용티슈"
"28","B",19,101,38,3242,29906,724608580,"5200-8300-13800-21800","구강용품,헤어스타일링,면도용품,바디용품,스킨케어,개인위생용품,H&B선물세트,일반헤어케어,기능헤어케어"
"29","B",20,108,24,3611,49535,285434490,"2000-3350-6000-11970","그릇/수저,음식조리,음식저장/보관,주방정리,야외용품,주방시즌/균일가,야외/시즌용품,균일가"
"30","B",21,103,44,3516,49039,122113290,"350-360-700-7800","청소용품,세탁용품,수납용품,욕실용품,휴지통,밀대/걸레,청소편의도구,종량제봉투"
"31","B",22,87,34,2337,6988,144442370,"4600-8200-14900-29000","소가구,장식용품,의자/상,조명/전구,보수용품,건전지,가구/인테리어샵,테이블,의자,상,제기용품,아웃도어퍼니처,벽지류,가구"
"32","B",23,61,32,1039,2259,80999400,"12670-21000-40850-79000","성인침구류,수예소품,커튼류,수예시즌,아동침구류"
"33","B",24,99,60,2394,16885,79841790,"1600-2850-5000-9300","예능학용품,노트/지류,필기도구,오피스용품,파티/팬시/시즌,미술용품,교육보조재,파티/팬시,노트,시즌행사"
"34","B",25,53,17,643,1634,17232623,"5400-8550-12958-19620","일반서적,음반,유/아동서적,영상,서적,음반영상"
"35","B",26,92,82,1701,14397,377427610,"7200-15900-34900-57800","BABY/INFANT,GIRLS,교육,VIDEOGAME,남아,SPORTS/OUTDOOR,EDUCATION 1,EDUCATION 2,BOYS 1,BOYS 2"
"36","B",27,66,48,1042,7801,111017420,"4000-9000-16900-30000","애완/동물용품,원예용품,애견용품,덴탈케어,고양이용품,동물병원,수족관용품"
"37","B",28,72,41,1086,2464,25633060,"4240-6900-12800-21956","자동차 정비용품,자동차 청소용품,카시트/매트,자동차처분,자동차 액세서리,교환/보수용품,세차용품,자동차방향제/소취제,자동차 편의용품,자동차장식용품,휴대폰용품,장착용품,오토바이용품"
"38","B",29,61,16,2302,13759,616672650,"14900-29400-51600-97000","스트리트편집샵,행사,이지캐주얼브랜드,여성캐주얼브랜드"
"39","B",30,49,14,883,2221,177337200,"29000-49000-95000-179000","비즈니스정장,시티캐주얼,복합샵,남성브랜드,남성행사,남성시즌행사"
"40","B",31,64,15,1079,5662,227931164,"15000-27000-49475-84000","유아브랜드,아동복합샵,아동브랜드,아동행사,유아동용품"
"41","B",32,46,21,440,1019,11608315,"5000-9500-13800-21000","유아용품,유아토들러,주니어스포츠,주니어웨어,유아동PB,유아동NPB,유아동특정"
"42","B",33,97,41,2592,14572,210851136,"6500-10000-17400-28700","성인내의,란제리,양말,홈웨어,스타킹,란제리브랜드,아동내의,언더웨어행사"
"43","B",34,88,22,2279,15523,326024940,"4200-10000-23800-50000","국내화장품,미용잡화,수입브랜드,화장품브랜드샵"
"44","B",35,52,19,901,1794,68190640,"12000-25000-48000-84940","스키,등산,낚시,수영복,윈터스포츠,워터스포츠,스포츠웨어"
"45","B",36,57,33,854,1571,54485810,"9000-15000-29800-79600","롤러보드,구기용품,헬스용품,자전거,스포츠ACC,라켓스포츠,시니어건강용품,스포츠의류"
"46","B",37,66,32,874,8420,63769200,"5800-6500-7500-12900","분식,양식,일식,중식,한식,패스트푸드,레스토랑,카페,푸드코트,컨세션"
"47","B",38,100,40,3271,74020,245555585,"1600-2640-4062-5742","해초류,나물,콩나물,두부,간편채소,묵,즉석참기름,묵/즉석참기름"
"48","B",39,6,3,16,16,13157300,"43600-493500-1491250-2008500","냉장고,세탁기,TV,DVD,오디오,홈시어터,김치냉장고"
"49","B",40,14,15,35,41,2234900,"25000-35900-54000-99000","정수기,공기청정기,에어컨,선풍기,히터기,전기요/장판,가습기,건강가전"
"50","B",41,20,19,90,121,8981700,"26900-39900-69000-199000","밥솥,주방소형가전,청소기,전기포트,믹서기,생활소형가전,커피메이커/머신,기타주방가전,조리기"
"51","B",42,23,17,154,202,4746090,"8900-13700-19900-29900","소형음향기기,카메라/캠코더,전화기/팩스,이동통신,PC,컴퓨터주변기기,전기면도기,건강디지털기기,NAVI/하이패스,기타음향기기,전자악기,MP3/PMP,전자학습기"
"52","B",43,106,39,3530,84166,521354790,"3150-5480-7480-9990","어묵맛살,냉장면류,햄소시지,냉장반찬,냉동만두,냉동간식,냉동대용식,아이스크림,햄,소시지,냉장햄세트"
"53","B",44,56,22,800,1358,67244320,"9000-20000-79000-138000","드레스화브랜드,캐주얼화브랜드,아동화브랜드,슈즈행사,남성구두,여성구두,샌들슬리퍼,NB구두,운동화"
"54","B",45,80,64,1685,4304,137482070,"5000-10000-25000-61000","준보석,시계,액세서리,피혁브랜드,가방브랜드,잡화멀티샵,미입점행사,지갑,벨트,핸드백,가방,피혁토탈,모자,우산/양산,스카프,장갑,시즌토탈,썬글라스,여행용품"
"55","B",46,90,27,2597,24816,544894331,"9749-14609-24560-42438","우육,수입육,일반한우,한우선물세트,브랜드한우"
"56","B",47,95,13,2909,34942,246430749,"4600-5900-7900-11000","닭고기,계란,오리고기"
"57","B",48,92,11,2696,27483,366944092,"6104-10000-16142-25000","양념육,돼지고기,브랜드돼지고기,차별화돼지고기,온라인돼지고기"
"58","B",49,47,18,297,575,7047760,"6000-9900-15000-20000","마담/어덜트,미시캐주얼,여성베이직,여성이지캐주얼,여성PB,여성NPB,여성특정"
"59","B",50,42,18,349,646,13197800,"9900-15000-25000-38000","병행수입,남성베이직,남성스포츠,남성어덜트캐주얼,남성이지캐주얼,남성스포츠PB,남성스포츠NPB,남성스포츠특정"
"60","B",51,49,14,1207,2827,188023960,"19850-39500-70000-114000","스포츠브랜드편집,스포츠NB,골프,시즌행사,브랜드"
"61","B",52,109,68,3345,57107,529477679,"5500-7800-10000-14000","과실과일,과채과일,선물세트,친환경과일,감귤,감,복숭아,자두,토마토,포도,참외,수박,딸기,메론"
"62","B",53,101,32,3099,34282,202791474,"3750-4900-7000-9900","선물세트,수입감귤과일,수입기타과일,열대과일,키위/석류,포도/체리,오렌지과일선물세트,오렌지,자몽,오렌지과일기타,석류,레몬"
"63","B",54,83,20,2520,18433,174775367,"4500-8500-11118-18000","생선회,해물연체류,간편조리생선,생선초밥,기타회"
"64","B",55,96,42,2566,15654,164758479,"5800-9000-11000-19000","건과,친환경채소,건강선물세트,냉동가공,생활한방,한방식재류,한방차"
"65","B",56,89,13,1796,11189,50312561,"2200-3840-6000-9000","밥류,간편조리,김/초밥,도시락"
"66","B",57,75,11,1951,8573,50865767,"2460-4004-5800-12000","선식,떡,족발"
"67","B",58,40,4,797,2208,16369827,"3160-5490-10746-14000","족발,순대"
"68","B",59,72,6,1830,8088,52249715,"2400-4190-10000-11000","단무지류,포장반찬,김치류,반찬류,포장젓갈"
"69","B",60,24,1,524,1002,10280161,"7200-10000-10000-15000","젓갈류"
"70","B",61,81,5,1641,7266,46825675,"3000-4000-7200-11800","브랜드푸드몰,간식조리"
"71","B",62,89,9,2383,15160,80217458,"2500-3990-6000-10000","빵,피자"
