"","subsidary","shopid","yyyymm","n_customer","n_item","n_trx","quantile_Amt"
"1","A",1,"201401",852,280,9080,"7300-17000-69682-247000"
"2","A",1,"201402",863,263,9106,"7000-16000-67500-234745"
"3","A",1,"201403",900,264,10563,"7300-15600-61750-215650"
"4","A",1,"201404",899,269,11209,"7000-17000-61750-207122"
"5","A",1,"201405",979,269,11755,"7200-16000-69000-233880"
"6","A",1,"201406",928,266,11301,"7040-16000-59000-205200"
"7","A",1,"201407",968,270,12024,"7000-15000-53000-171000"
"8","A",1,"201408",941,289,10524,"6800-14900-49000-171000"
"9","A",1,"201409",923,283,9738,"6700-15300-61200-209000"
"10","A",1,"201410",947,273,11456,"7500-16500-60000-208000"
"11","A",1,"201411",923,276,11706,"7352-17625-69915-274295"
"12","A",1,"201412",964,275,12540,"7500-17000-58100-237640"
"13","A",1,"201501",929,276,11114,"6500-14150-50000-206865"
"14","A",1,"201502",896,278,9006,"7000-16500-65830-219935"
"15","A",1,"201503",919,263,11245,"6500-14500-54570-215000"
"16","A",1,"201504",959,288,11725,"7070-17000-60700-217550"
"17","A",1,"201505",973,277,12395,"7200-18300-69000-233460"
"18","A",1,"201506",843,274,11588,"7460-17790-64532-204075"
"19","A",1,"201507",972,288,13588,"7500-16395-57600-186660"
"20","A",1,"201508",929,279,11653,"6500-14000-50000-178200"
"21","A",1,"201509",888,313,9612,"7000-15600-64650-216552"
"22","A",1,"201510",968,312,11232,"7500-17550-66642-228900"
"23","A",1,"201511",903,308,10475,"7600-19000-75000-3e+05"
"24","A",1,"201512",919,306,11117,"8200-19000-69000-256500"
"25","A",2,"201401",1682,288,22435,"7200-17000-59900-2e+05"
"26","A",2,"201402",1670,277,19366,"7000-16000-59000-195350"
"27","A",2,"201403",1722,265,25287,"7200-17000-59000-184870"
"28","A",2,"201404",1716,273,27225,"8000-18540-60000-180880"
"29","A",2,"201405",1792,276,28896,"8000-19000-60000-179000"
"30","A",2,"201406",1729,269,27020,"7500-16750-55200-160000"
"31","A",2,"201407",1765,260,28546,"7280-16000-49000-141070"
"32","A",2,"201408",1714,288,25426,"6500-14500-48000-148000"
"33","A",2,"201409",1715,287,23701,"6980-15400-54000-178000"
"34","A",2,"201410",1825,275,26425,"7000-16400-59280-191120"
"35","A",2,"201411",1784,270,24925,"7000-15540-59000-207100"
"36","A",2,"201412",1844,278,27380,"7000-15800-54800-190975"
"37","A",2,"201501",1722,269,24613,"6500-13750-46000-159000"
"38","A",2,"201502",1720,282,20867,"7000-16000-59000-195300"
"39","A",2,"201503",1785,272,26725,"7000-15000-54000-178000"
"40","A",2,"201504",1806,272,27361,"7650-17130-59000-186750"
"41","A",2,"201505",1829,272,29865,"7500-19000-63000-185250"
"42","A",2,"201506",1635,270,25294,"7000-16200-54000-159021"
"43","A",2,"201507",1802,274,28765,"7000-15600-49000-139000"
"44","A",2,"201508",1785,274,26259,"6500-15000-47400-140092"
"45","A",2,"201509",1722,313,22018,"6900-17000-59850-184440"
"46","A",2,"201510",1823,310,27637,"7100-18000-62600-199320"
"47","A",2,"201511",1792,308,26033,"7000-17000-61740-225000"
"48","A",2,"201512",1873,304,26355,"7000-16180-56400-199500"
"49","A",3,"201401",421,230,4656,"8000-20000-70852-198000"
"50","A",3,"201402",421,218,4039,"8000-20000-67000-179600"
"51","A",3,"201403",407,224,4855,"8000-19000-59875-162324"
"52","A",3,"201404",440,227,5470,"9738-20500-69120-170100"
"53","A",3,"201405",455,224,5522,"9000-23200-69000-166349"
"54","A",3,"201406",464,224,5327,"8150-20000-59000-148520"
"55","A",3,"201407",449,212,5772,"7500-19000-55200-132000"
"56","A",3,"201408",439,228,5192,"7500-19000-52925-135765"
"57","A",3,"201409",429,225,4464,"7700-20000-69000-183420"
"58","A",3,"201410",433,222,5335,"9000-21850-70610-197600"
"59","A",3,"201411",464,219,5557,"9000-22350-79000-243520"
"60","A",3,"201412",456,226,5771,"7530-20000-62895-198000"
"61","A",3,"201501",431,218,5123,"7000-16000-56050-165524"
"62","A",3,"201502",407,225,4416,"8000-20000-69000-176990"
"63","A",3,"201503",465,216,5547,"8000-20000-66500-186714"
"64","A",3,"201504",427,218,5581,"8530-20000-68990-178600"
"65","A",3,"201505",445,219,6216,"8500-20300-65175-168000"
"66","A",3,"201506",397,220,5317,"7100-19000-59700-151256"
"67","A",3,"201507",414,216,5551,"7600-19000-55000-143100"
"68","A",3,"201508",426,208,5016,"7038-18000-50162-129000"
"69","A",3,"201509",441,236,4474,"7045-20000-70000-191786"
"70","A",3,"201510",445,239,5023,"9000-24210-78200-218468"
"71","A",3,"201511",427,240,5128,"8500-24000-81988-242250"
"72","A",3,"201512",461,242,5836,"8000-21015-64020-190360"
"73","A",4,"201401",18,42,57,"5000-14900-49000-124480"
"74","A",4,"201402",19,39,59,"7000-20000-46500-297360"
"75","A",4,"201403",17,44,83,"7350-20450-104065-315280"
"76","A",4,"201404",9,32,52,"6375-11500-101475-236970"
"77","A",4,"201405",16,39,66,"5000-10350-36300-267800"
"78","A",4,"201406",14,48,74,"9250-23700-61975-213940"
"79","A",4,"201407",19,36,66,"7650-48250-154400-362500"
"80","A",4,"201408",22,41,76,"5875-14980-46000-127110"
"81","A",4,"201409",21,49,86,"3500-12260-55212-146640"
"82","A",4,"201410",25,83,216,"5880-10000-44025-202550"
"83","A",4,"201411",21,78,237,"5500-11000-60000-265416"
"84","A",4,"201412",20,59,144,"5000-10000-23138-122493"
"85","A",4,"201501",21,54,114,"6318-12150-38640-277600"
"86","A",4,"201502",21,53,110,"6000-14850-34018-115064"
"87","A",4,"201503",21,49,76,"7750-26900-99158-250710"
"88","A",4,"201504",21,45,79,"5000-14000-55025-177200"
"89","A",4,"201505",20,43,61,"10000-26980-85000-203300"
"90","A",4,"201506",15,42,68,"6800-14800-50175-205550"
"91","A",4,"201507",26,63,111,"6885-15600-66200-220400"
"92","A",4,"201508",26,58,118,"6055-13750-43800-125900"
"93","A",4,"201509",16,37,51,"4450-10000-87500-310170"
"94","A",4,"201510",24,52,96,"4360-10000-35750-135800"
"95","A",4,"201511",17,47,87,"4150-9000-40950-229040"
"96","A",4,"201512",18,42,78,"5250-21450-100568-553275"
"97","A",5,"201401",122,167,2511,"4800-10000-30000-117800"
"98","A",5,"201402",118,153,2225,"4500-10000-22000-66228"
"99","A",5,"201403",120,165,3090,"4960-10000-25218-84550"
"100","A",5,"201404",127,170,2999,"4880-10000-24000-78000"
"101","A",5,"201405",122,179,3321,"5000-10000-29800-85120"
"102","A",5,"201406",123,173,3076,"4950-10000-25818-70590"
"103","A",5,"201407",133,178,3292,"4800-10000-23500-71041"
"104","A",5,"201408",121,163,3215,"4500-10000-20000-59000"
"105","A",5,"201409",129,172,2798,"4772-10000-25000-83853"
"106","A",5,"201410",126,165,3212,"4900-10000-24055-78985"
"107","A",5,"201411",125,173,3217,"4900-10000-26910-89936"
"108","A",5,"201412",122,171,3152,"5000-10000-28000-84550"
"109","A",5,"201501",125,160,2881,"4800-10000-20000-62700"
"110","A",5,"201502",116,167,2287,"4800-10000-26915-96472"
"111","A",5,"201503",128,160,2763,"4800-10000-22500-79000"
"112","A",5,"201504",122,165,3230,"4900-10000-24975-79220"
"113","A",5,"201505",124,170,3386,"5000-10000-29000-88500"
"114","A",5,"201506",122,173,2956,"4500-10000-22845-69000"
"115","A",5,"201507",128,173,3354,"4750-10000-24900-69000"
"116","A",5,"201508",128,155,2965,"4500-10000-20000-56420"
"117","A",5,"201509",133,164,2505,"4280-10000-23120-69800"
"118","A",5,"201510",126,180,2989,"4500-10000-25000-90960"
"119","A",5,"201511",119,172,2709,"4700-10000-26800-79260"
"120","A",5,"201512",123,166,2878,"4702-10000-23475-63778"
"121","A",6,"201401",10,33,81,"11160-33150-90000-3e+05"
"122","A",6,"201402",9,33,52,"13675-54450-138825-361870"
"123","A",6,"201403",8,51,90,"18000-34800-100822-237636"
"124","A",6,"201404",7,40,76,"39450-63090-118982-261675"
"125","A",6,"201405",9,56,92,"14598-49190-170400-351263"
"126","A",6,"201406",7,49,73,"14500-67000-130950-402880"
"127","A",6,"201407",10,41,80,"24450-63000-137870-237525"
"128","A",6,"201408",8,39,71,"11000-37260-124500-184000"
"129","A",6,"201409",8,46,65,"10300-53430-189000-335046"
"130","A",6,"201410",8,38,58,"31975-87600-154422-247031"
"131","A",6,"201411",8,48,91,"19000-53100-166075-316000"
"132","A",6,"201412",6,47,78,"20250-65570-147280-292023"
"133","A",6,"201501",8,41,62,"15750-40500-96450-259464"
"134","A",6,"201502",10,60,101,"10000-20000-77400-182000"
"135","A",6,"201503",11,70,176,"9355-18415-56462-170100"
"136","A",6,"201504",8,63,124,"9450-18430-71938-143730"
"137","A",6,"201505",16,65,148,"10000-30175-102305-246069"
"138","A",6,"201506",8,53,111,"10000-27550-61900-120840"
"139","A",6,"201507",10,57,131,"9950-20000-69975-226480"
"140","A",6,"201508",6,43,99,"11850-34200-112255-239360"
"141","A",6,"201509",8,70,140,"13360-34925-94500-187290"
"142","A",6,"201510",10,57,105,"9900-29000-84550-149600"
"143","A",6,"201511",7,61,134,"9772-19700-84550-268014"
"144","A",6,"201512",8,52,122,"9725-20355-51855-128700"
"145","A",7,"201401",56,125,764,"6000-12720-32560-114370"
"146","A",7,"201402",52,108,578,"5385-10910-38525-108660"
"147","A",7,"201403",52,114,773,"5000-10000-33410-118000"
"148","A",7,"201404",47,123,862,"5000-10000-29000-95017"
"149","A",7,"201405",63,130,1034,"5770-11030-37040-116640"
"150","A",7,"201406",58,125,900,"5700-13000-36050-108200"
"151","A",7,"201407",54,136,936,"5000-10175-29500-80370"
"152","A",7,"201408",60,127,886,"5000-10000-21962-65250"
"153","A",7,"201409",60,136,923,"5000-10000-33740-123460"
"154","A",7,"201410",60,129,895,"5425-11600-29950-108000"
"155","A",7,"201411",60,134,901,"6500-15000-49700-197400"
"156","A",7,"201412",62,130,976,"5400-10985-34000-136710"
"157","A",7,"201501",55,111,909,"5000-10000-24520-99200"
"158","A",7,"201502",57,120,794,"5000-10390-36202-109940"
"159","A",7,"201503",46,114,913,"5000-10000-24250-70000"
"160","A",7,"201504",55,128,945,"5000-10350-30000-86886"
"161","A",7,"201505",76,133,1120,"5490-11120-31625-99556"
"162","A",7,"201506",65,116,944,"5000-10000-25000-82230"
"163","A",7,"201507",67,130,911,"5000-10000-35510-94050"
"164","A",7,"201508",65,135,1122,"5500-10000-29302-85452"
"165","A",7,"201509",68,124,1011,"4800-10000-25300-70000"
"166","A",7,"201510",71,120,1026,"5300-11770-36195-127410"
"167","A",7,"201511",69,131,952,"5172-11915-45000-140000"
"168","A",7,"201512",73,120,943,"6250-12900-36675-131640"
"169","A",8,"201401",9,30,104,"7750-12225-20200-43150"
"170","A",8,"201402",10,37,98,"7625-16405-99400-288468"
"171","A",8,"201403",10,35,102,"5825-11025-29975-120795"
"172","A",8,"201404",11,50,117,"6300-14150-75050-230508"
"173","A",8,"201405",13,57,154,"7920-19850-77562-176839"
"174","A",8,"201406",10,43,112,"7048-17500-91680-228689"
"175","A",8,"201407",9,52,135,"10000-29920-69000-176510"
"176","A",8,"201408",8,40,88,"10000-27775-76950-302220"
"177","A",8,"201409",10,36,75,"8050-20000-84550-186800"
"178","A",8,"201410",16,39,70,"6888-10000-47200-156820"
"179","A",8,"201411",15,45,99,"5550-10600-39000-237214"
"180","A",8,"201412",11,50,110,"5000-8950-36000-205756"
"181","A",8,"201501",9,42,105,"1800-9000-18000-64400"
"182","A",8,"201502",14,45,119,"4500-10000-19000-222568"
"183","A",8,"201503",9,49,176,"3500-7990-17665-85500"
"184","A",8,"201504",11,46,153,"3500-12000-46550-148760"
"185","A",8,"201505",13,50,118,"4722-10000-38750-141939"
"186","A",8,"201506",7,40,125,"3000-9480-29200-78000"
"187","A",8,"201507",7,31,69,"6000-18570-44000-147906"
"188","A",8,"201508",8,37,91,"7300-20000-63650-141550"
"189","A",8,"201509",8,23,40,"5180-17490-39225-220410"
"190","A",8,"201510",9,29,69,"7800-19510-58500-259720"
"191","A",8,"201511",8,46,90,"9925-26600-72800-248615"
"192","A",8,"201512",6,27,46,"5400-11300-53500-121800"
"193","A",9,"201401",174,200,1702,"9300-30000-114870-4e+05"
"194","A",9,"201402",178,189,1596,"9000-25800-93100-279965"
"195","A",9,"201403",193,195,1821,"8000-23000-95000-296000"
"196","A",9,"201404",176,197,2187,"9000-25000-99000-274436"
"197","A",9,"201405",196,199,2618,"9515-29900-99000-274550"
"198","A",9,"201406",191,187,2214,"9925-25000-85405-209364"
"199","A",9,"201407",207,195,2408,"9275-25725-82698-208015"
